marker_id,display_order,marker_label,cohort,metric,analysis_unit,conch_value,virchow_value,note,upstream_source,upstream_fields
1,1,Grade,NADT,ρ,patient,0.4783626326797877,0.5133276979921874,,models/nadt_conch_cache/per_patient_results.csv;models/virchow_nadt_cache_lvl3/per_patient_results.csv,"Spearman(pred,true) in each 39-patient table"
2,2,Phenotype,NADT,ρ,patient,0.8046203170759654,0.7563565046659657,,models/nadt_conch_cache/per_patient_phenotype_results.csv;models/virchow_nadt_cache/per_patient_phenotype_results.csv,"Spearman(pred,true) in each 39-patient table"
3,3,ERG→Grade,NADT,ρ,patient,0.5244160374868407,0.6643009193406669,,models/nadt_conch_cache/per_patient_ERG_results.csv;models/virchow_nadt_cache/per_patient_ERG_results.csv,"Spearman(pred,true) in each 39-patient table; replaces stale legacy CONCH display value 0.585"
4,4,PTEN loss,TCGA-PRAD,AUROC,slide,0.6174008207934337,0.6084815321477428,,models/statistical_corrections_summary.csv;models/confounder_nested_virchow_summary.csv,"CONCH row 4 slide_metric; Virchow marker4_pten_virchow|grade_only|slide image"
5,5,SPOP mut.,TCGA-PRAD,AUROC,slide,0.5083122895622896,0.4240319865319865,"Primary unsupported\nNeither robust positive nor null",models/statistical_corrections_summary.csv;models/virchow_tcga_prad_cache/meta_spop.csv;models/virchow_tcga_prad_cache/X_spop.npy;models/pilot_virchow_tcga_prad_spop.py,"CONCH row 5 slide_metric; Virchow patient-disjoint GroupKFold(5) slide AUROC from spop_mut and frozen embeddings"
6,6,AR activity,TCGA-PRAD,ρ,slide,0.1827419470405023,0.2300511493594673,,models/statistical_corrections_summary.csv;models/virchow_tcga_prad_cache/meta_spop.csv;models/virchow_tcga_prad_cache/X_spop.npy;models/tcga_prad_clinical_extra/prad_pub_sample_clinical.json;models/pilot_conch_virchow_tcga_prad_ensemble.py,"CONCH row 6 slide_metric; Virchow patient-disjoint GroupKFold(5) slide Spearman against AR_SCORE"
7,7,Recurrence,TCGA-PRAD,C-index,patient,0.673,0.533,"Endpoint/encoder/scale-limited\nOfficial PFI complete; interval includes 0.5",models/pilot_tcga_prad_recurrence_external.py;models/pilot_tcga_prad_recurrence_external_virchow.py;models/leopard_conch_cache/X.npy;models/leopard_virchow_cache/X.npy;models/tcga_prad_conch_cache/X.npy;models/virchow_tcga_prad_cache/X_spop.npy;opendataset/TCGA-PRAD-BCR/bcr.csv,"reported PCA(8)+Cox zero-shot patient C-index; legacy outputs retain three-decimal precision"
