semantic_key,endpoint_id,endpoint_label,result_type,contrast_id,metric,n,n_events,primary_estimate,ci_low,ci_high,null_value,evidence_state,missingness_status,missingness_detail,source_path,source_field
E08_official_pfi:FULL_COMBINED_VS_FULL:c_index,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,FULL_COMBINED_VS_FULL,c_index,153,15,0.0299270072992701,-0.0034708197083043,0.0725819185059422,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:FULL_COMBINED_VS_FULL:ibs_0.5_5y,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,FULL_COMBINED_VS_FULL,ibs_0.5_5y,153,15,0.0040170956062405,-0.0019751377380925,0.0125004173262418,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:GRADE_COMBINED_VS_GRADE:c_index,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,GRADE_COMBINED_VS_GRADE,c_index,153,15,0.0321167883211678,-0.040293516243451,0.1259867673484487,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:GRADE_COMBINED_VS_GRADE:ibs_0.5_5y,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,GRADE_COMBINED_VS_GRADE,ibs_0.5_5y,153,15,0.0009544151277618,-0.0015860678983402,0.0036290344013355,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:IMAGE_VS_FULL:c_index,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,IMAGE_VS_FULL,c_index,153,15,-0.1335766423357663,-0.3652656950739149,0.0837484790265767,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:IMAGE_VS_FULL:ibs_0.5_5y,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,IMAGE_VS_FULL,ibs_0.5_5y,153,15,-0.0006212294847753,-0.0170651499932816,0.017229639446529,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:IMAGE_VS_GRADE:c_index,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,IMAGE_VS_GRADE,c_index,153,15,-0.1627737226277372,-0.4028944659302746,0.0687832957321633,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:IMAGE_VS_GRADE:ibs_0.5_5y,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,IMAGE_VS_GRADE,ibs_0.5_5y,153,15,-0.0089096132333755,-0.0238727061314633,0.0049685417016918,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:M5_VS_M4:c_index,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,M5_VS_M4,c_index,153,15,-0.0043795620437956,-0.0160901069945704,0.0059502247141278,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E08_official_pfi:M5_VS_M4:ibs_0.5_5y,E08_official_pfi,Official TCGA-CDR PFI,same_patient_same_draw_delta,M5_VS_M4,ibs_0.5_5y,153,15,-0.0002460846463803,-0.0022155911415207,0.0016610513138995,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
