current_path,size_bytes,sha256,git_tracked,project,proposed_path,action
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/analysis/analysis_measure_catalog.tsv,30494,ec79ab96d9dea64049bd44bcbab7766d79c19d2c8a6aadc2d2efa75f11f0ace5,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/analysis/analysis_measure_catalog.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/legacy/medical_metric_catalog_flat_v0_3.tsv,17124,039664678b8986e486007243841b385f7a0332d1afdef30f211d225fc9185837,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/legacy/medical_metric_catalog_flat_v0_3.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/legacy/metric_catalog_113.tsv,44876,e34396626ecfbd4d7036e2fe1d8732daf8b509de4bc93edec566e4183c241435,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/legacy/metric_catalog_113.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier1_clinician_native.tsv,4873,be60dfe348d2037b42af743b34f0cc34341493598a574287164ccb91d64934a9,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier1_clinician_native.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier2_clinician_anchored.tsv,3888,c55d43ae14effc997ef8a3dea577f633271b713c89c4bf763e18b8c334d17217,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier2_clinician_anchored.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier3_research_computational.tsv,5996,ba28ab90b75642215e5b590be74f22544400ba5895842817ad7677da52e8bae9,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier3_research_computational.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier4_model_derived.tsv,2835,50d8d5a0672f2c1f79a197c3302de1919801a626cb52f3532ec02bff4debf125,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/medical/tier4_model_derived.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/disease_metric_uses.tsv,11081,b0c2dd258834b4ca21c3cab8c9ef2698ccbf81ef05535dc77e7edee2a520c7ba,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/disease_metric_uses.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/metric_combinations.tsv,12311,bd629cf6028df61c802f7e698c080347c21c13aa3331809e203e8c2aa0d12817,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/metric_combinations.tsv,retain
infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/survey_references.tsv,8595,81826326902dc1346443916a0e6f28a6cd03ec77b1b2c13e68bcdb80db13c35a,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/src/vlm_pathology_metrics/data/survey/survey_references.tsv,retain
infrastructure/packages/vlm_pathology_metrics/tests/test_vlm_pathology_metrics.py,12061,7c5be078da406c1649fc8f0ea6571447d6694dd7f496cbeb7ca1a9b0fc734f1c,False,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/tests/test_vlm_pathology_metrics.py,retain
